id|cover_type|insurance|price|wild|detail
1|1|1|10|1|1일당 10만원 연간 1000만원 : 1일당 자기부담금 2만원 공제 후 70% 보상
2|3|1|100|1|1일당 100만원 연간 2회 : 질병상해의료비 보험금 차감 후 70%보상
3|4|1|100|1|1일당 100만원 연간 1회 : 실제 치료비의 50% 보상
4|5|1|10|1|1일당 10만원 연간 1000만원 : 1일당 2만원 공제 후 70% 보상
5|8|1|3000|0|1사고당 3000만원 연간 3000만원 : 1사고당 10만원 공제 후 보상
6|1|3|15|1|"1일당 15만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상"
7|3|3|200|1|"1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상)"
8|4|3|200|1|"보험개시일로 부터 1년 이내 발생 시 미지급 : 
1일당 자기부담금(1만원) 차감 후 70% 보상)"
9|5|3|200|1|"입원·통원 시 1일당 10만원
수술시 1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상)"
10|6|3|200|1|"입원·통원 시 1일당 10만원
수술시 1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본) 치과치료 미보장"
11|7|3|200|1|"입원·통원 시 1일당 10만원
수술시 1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
12|2|3|15|1|"1일당 15만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
13|8|3|500|1|"피보험자가 피해자에게 지급할 책임을 지는 법률상의
손해배상금"
14|1|4|15|0|"1일당 15만원 (최대 한도: 500만원) :
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
15|3|4|200|0|"1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
16|4|4|200|0|"1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
17|5|4|200|0|"입원·통원 시 1일당 10만원
수술시 1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
18|6|4|200|0|"치과치료 미보장
입원·통원 시 1일당 10만원
수술시 1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
19|7|4|200|0|"입원·통원 시 1일당 10만원
수술시 1일당 200만원 (최대 한도: 500만원) : 
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
20|2|4|15|0|"1일당 15만원 (최대 한도: 500만원):
1일당 자기부담금(1만원) 차감 후 70% 보상(기본)"
21|1|2|15|1|1일 15만 원, 연간 20일 한도 (자기부담금 1만 원)
22|2|2|15|1|1일 15만 원, 연간 20일 한도 (자기부담금 1만 원)
23|3|2|150|1|1회 150만 원, 연간 2회 한도 (자기부담금 1만 원)
24|5|2|15|1|"수술 : 1회 150만 원, 연간 2회 한도
입원 : 1일 15만 원, 연간 20일 한도
통원 : 1일 15만 원, 연간 20일 한도
(자기부담금 1만 원)"
25|6|2|15|1|"수술 : 1회 150만 원, 연간 2회 한도
입원 : 1일 15만 원, 연간 20일 한도
통원 : 1일 15만 원, 연간 20일 한도
(자기부담금 1만 원)"
26|4|2|150|1|"수술 : 1회 150만 원, 연간 2회 한도
입원 : 1일 15만 원, 연간 20일 한도
통원 : 1일 15만 원, 연간 20일 한도
(자기부담금 1만 원)"
27|1|2|15|1|1일 15만 원, 연간 20일 한도 (자기부담금 3만 원)
28|2|2|15|1|1일 15만 원, 연간 20일 한도 (자기부담금 3만 원)
