id|breed|animal_name|species|animal_birth|outpatient|hospitalization|operation|patella|skin_disease|dental|urinary|liability|insurance_choice
1|31|ÀÌ÷À÷À|1|3|4|5|2|3|4|2|4|3|55
2|31|ÀÌ÷À÷À|1|0|1|2|1|1|1|1|1|1|46
3|31|ÀÌ÷À÷À|1|1|2|3|2|1|3|1|4|1|14
4|31|ÀÌ÷À÷À|1|2|3|4|1|4|3|2|1|1|77
5|81|ÀÌ÷À÷À|1|3|4|5|2|2|4|1|1|3|55
6|81|ÀÌ÷À÷À|1|4|5|4|1|2|1|1|1|1|74
7|81|ÀÌ÷À÷À|1|2|1|2|4|3|2|2|1|2|77
8|31|ÀÌ÷À÷À|1|3|2|3|5|4|1|1|2|2|79
9|31|ÀÌ÷À÷À|1|4|3|4|4|4|3|2|2|3|75
10|31|ÀÌ÷À÷À|1|7|4|5|5|4|2|2|1|3|53
11|31|ÀÌ÷À÷À|1|6|5|1|4|3|2|2|1|1|74
12|31|ÀÌ÷À÷À|1|8|1|2|5|3|3|2|2|4|24
13|31|ÀÌ÷À÷À|1|8|2|3|4|3|1|2|1|4|76
14|31|ÀÌ÷À÷À|1|7|3|4|3|3|1|3|2|4|46
15|31|ÀÌ÷À÷À|1|6|4|5|3|2|2|3|1|5|51
16|31|ÀÌ÷À÷À|1|5|5|1|2|4|3|3|2|5|77
17|31|ÀÌ÷À÷À|1|3|1|2|2|5|3|4|1|3|49
18|31|ÀÌ÷À÷À|1|4|2|3|2|1|3|4|2|3|48
19|32|ÀÌ÷À÷À|1|6|3|1|2|2|4|3|1|2|14
20|32|ÀÌ÷À÷À|1|7|4|5|3|3|3|2|2|3|27
21|32|ÀÌ÷À÷À|1|7|5|3|3|3|4|2|1|4|79
22|32|ÀÌ÷À÷À|1|0|1|2|1|4|1|2|2|4|75
23|32|ÀÌ÷À÷À|1|1|2|1|1|5|5|3|1|3|53
24|81|ÀÌ÷À÷À|1|2|3|3|1|2|5|3|2|4|77
25|81|ÀÌ÷À÷À|1|3|4|5|1|1|3|4|1|3|52
26|81|ÀÌ÷À÷À|1|4|5|2|2|2|5|4|2|3|24
27|32|ÀÌ÷À÷À|1|2|1|1|2|3|4|2|1|1|54
28|32|ÀÌ÷À÷À|1|3|2|3|2|4|4|4|2|2|77
29|32|ÀÌ÷À÷À|1|4|3|2|3|4|4|5|1|3|47
30|32|ÀÌ÷À÷À|1|7|4|1|3|4|5|5|2|2|78
31|32|ÀÌ÷À÷À|1|6|5|2|4|3|5|5|1|3|53
32|32|ÀÌ÷À÷À|1|8|1|5|4|3|5|5|2|1|52
33|32|ÀÌ÷À÷À|1|8|2|1|5|2|5|5|1|2|75
34|32|ÀÌ÷À÷À|1|7|3|4|5|1|5|4|2|3|61
35|32|ÀÌ÷À÷À|1|6|4|1|5|1|4|4|1|2|49
36|32|ÀÌ÷À÷À|1|5|5|2|5|2|4|4|2|4|48
37|32|ÀÌ÷À÷À|1|3|1|3|4|3|4|3|1|3|27
38|32|ÀÌ÷À÷À|1|4|2|1|3|4|3|4|2|4|16
39|33|ÀÌ÷À÷À|1|6|3|2|3|4|3|3|1|3|53
40|33|ÀÌ÷À÷À|1|7|4|3|3|5|3|4|2|4|56
41|33|ÀÌ÷À÷À|1|7|5|1|3|5|3|4|1|1|52
42|33|ÀÌ÷À÷À|1|0|1|0|2|5|3|3|2|2|11
43|33|ÀÌ÷À÷À|1|1|2|2|2|3|3|2|1|3|51
44|33|ÀÌ÷À÷À|1|2|3|3|2|5|2|2|2|2|14
45|33|ÀÌ÷À÷À|1|3|4|5|3|3|2|2|1|3|75
46|33|ÀÌ÷À÷À|1|4|5|5|3|4|2|3|2|1|46
47|33|ÀÌ÷À÷À|1|2|1|1|4|4|2|3|1|5|59
48|33|ÀÌ÷À÷À|1|3|2|2|4|3|2|2|2|1|75
49|33|ÀÌ÷À÷À|1|4|2|2|3|4|1|3|1|1|49
50|33|ÀÌ÷À÷À|1|7|2|3|3|5|1|1|2|4|75
51|33|ÀÌ÷À÷À|1|6|2|3|2|5|1|1|1|1|47
52|34|ÀÌ÷À÷À|1|8|1|1|2|3|1|2|2|4|47
53|34|ÀÌ÷À÷À|1|8|2|1|1|3|1|1|2|1|75
54|34|ÀÌ÷À÷À|1|7|2|2|1|2|1|3|2|5|77
55|34|ÀÌ÷À÷À|1|6|3|3|1|3|2|3|2|1|48
56|34|ÀÌ÷À÷À|1|5|3|4|2|2|2|3|3|1|76
57|34|ÀÌ÷À÷À|1|3|4|5|2|1|1|4|3|5|53
58|34|ÀÌ÷À÷À|1|4|4|5|1|2|2|2|3|4|57
59|34|ÀÌ÷À÷À|1|6|4|6|2|3|2|3|4|3|48
60|34|ÀÌ÷À÷À|1|7|3|5|2|3|3|2|4|3|78
61|34|ÀÌ÷À÷À|1|7|3|4|2|4|1|1|5|3|75
62|34|ÀÌ÷À÷À|1|0|4|4|3|4|1|3|5|2|79
63|35|ÀÌ÷À÷À|1|1|4|4|4|5|1|2|4|3|47
64|35|ÀÌ÷À÷À|1|2|4|3|4|5|1|3|3|1|75
65|35|ÀÌ÷À÷À|1|3|5|2|2|5|2|3|3|3|75
66|35|ÀÌ÷À÷À|1|4|5|2|2|5|3|4|2|2|56
67|35|ÀÌ÷À÷À|1|2|5|2|3|4|3|4|2|4|20
68|35|ÀÌ÷À÷À|1|3|5|3|2|4|4|3|2|3|47
69|35|ÀÌ÷À÷À|1|4|4|3|1|1|4|5|1|4|78
70|35|ÀÌ÷À÷À|1|7|4|4|4|2|4|5|1|3|50
71|35|ÀÌ÷À÷À|1|6|4|4|5|3|4|5|1|4|75
72|35|ÀÌ÷À÷À|1|8|4|3|5|3|3|5|1|4|23
73|35|ÀÌ÷À÷À|1|8|3|5|5|1|3|4|1|3|51
74|35|ÀÌ÷À÷À|1|7|3|4|4|2|3|2|1|4|55
75|35|ÀÌ÷À÷À|1|6|3|4|5|4|5|2|1|3|46
76|36|ÀÌ÷À÷À|1|5|3|4|4|5|5|1|1|2|47
77|36|ÀÌ÷À÷À|1|3|3|2|3|4|5|1|1|3|46
78|36|ÀÌ÷À÷À|1|4|4|5|3|3|3|2|1|4|48
79|36|ÀÌ÷À÷À|1|6|4|5|4|2|3|1|1|1|46
80|36|ÀÌ÷À÷À|1|7|4|5|5|3|3|2|3|4|61
81|36|ÀÌ÷À÷À|1|7|4|5|5|4|2|2|3|5|47
82|36|ÀÌ÷À÷À|1|0|4|1|3|1|2|3|4|1|54
83|36|ÀÌ÷À÷À|1|1|4|1|1|2|2|3|3|1|49
84|36|ÀÌ÷À÷À|1|2|4|1|1|3|3|3|2|1|76
85|36|ÀÌ÷À÷À|1|3|3|1|1|3|3|4|2|1|47
86|37|ÀÌ÷À÷À|1|4|3|5|2|4|2|4|3|5|46
87|37|ÀÌ÷À÷À|1|2|2|1|3|4|1|4|2|5|49
88|37|ÀÌ÷À÷À|1|3|2|3|1|5|1|2|2|3|53
89|37|ÀÌ÷À÷À|1|4|2|4|1|5|1|3|2|4|77
