id|name|cause|info|tip|type_id
1|각막염|영양 부족, 외상, 태양에 의한 자극, 각막 건조가 원인으로 다른 질병이 경과중일 때 발생하는 경우가 많다.|밝은 빛을 피하고 안구가 불투명해지며 발로 눈을 자주 긁는다.|식염수로 안면과 눈을 씻겨내고 눈에 자극을 더하는 물질을 주위에 두지 않도록 해야 하며 비타민 섭취에 신경을 써야 한다. 결막염과는 달리 2차 감염이 될 수 있으니 가능한 빨리 수의사에게 보이고 치료하는 것이 중요하다.|
2|간질|정확한 원인은 알 수 없으나 간질에 따르는 경련은 뇌 활동의 순간적 장애로 인해 근육 골격의 조절 기능을 못하는 것이 원인이다.|입에 거품을 물고 실신하며 전신 경련이 뒤따른다.|가벼운 간질은 1-2분 안에 끝나므로 간질을 의심해 보고 수의사에게 보이도록 한다.|
3|결막염|약물/알레르기에 의한 반응, 디스템퍼와 같은 전염성 질병의 복합증상, 이물질의 침입 등의 이유로 인해 발생한다.|체력이나 외관상의 이상은 없으나 눈물과 눈곱이 많아져 앞발로 눈을 긁는 행동을 보인다.|식염수를 사용하여 눈을 잘 씻어내야 하며 만일 세균성 결막염일 경우는 항균제 연고를 사용하는 치료법이 있으나 세균성인지 곰팡이성인지 사육자가 판단하기 어려우므로 수의사에게 보이고 치료를 하는 것이 확실한 방법이다.|
4|골절|외부의 충격에 의해 뼈가 부러지는 것이 원인이다.|제대로 걷지 못하고 다리를 들고 걸으며 부종(붓는 현상)과 통증을 겪게 된다.|단순 골절의 경우는 깁스, 복합 골절의 경우는 외과 수술을 받는다.|4
5|관절염|골관절염은 하나의 질환이기도하고 혹은 고관절 형성 장애와 같은 다른 질환으로 인해 나타나기도 한다. 외상 관절염은 직접적인 관절 부상으로 인해 나타나는데, 교통사고를 당하거나 운동을 하다가 다리를 삔 경우에 나타나게 된다. 영양이 부족한 경우, 특히 어릴 때 영양분을 제대로 공급 받지 못하면 외상 관절염이 생길 수 있다. 관리를 잘 못하거나, 노화로 인해 외상 관절염이 나타날 수도 있고, 유전 질환인 경우도 있다.|관절이 붓고 잘 걷지 못하며, 걸을 때 다리를 절기도 한다.|관절염을 치료할 때에는 염증을 치료하는 약과 진통제를 함께 먹이고, 경우에 따라 수술을 해야 할 수도 있다. 골관절염에 걸린 애견은 심각하게 다루어야 한다. 애견이 걸을 수 없게 되어서야 병원을 찾으면 안 된다. 수영을 하면 관절에 무리를 주지 않으면서도 근육을 단련시킬 수 있기 때문에 수영을 시키는 것이 좋다.|4
6|구내염|이물질이나 열 자극성 음식, 거친 사료 섭취 등이 원인이다.|체력이 저하되며 식욕이 없어지며 구강 내에 피가 나기도 하므로 구취가 난다.|영양이 높은 사료를 공급하여 주며 병이 호전되지 않으면 수의사에게 보여 처방을 받도록 한다.|
7|구토|식생활의 갑작스런 변화, 먹어서는 안 되는 음식 섭취, 배변 이상, 일사병, 당뇨, 신장 이상, 간 질환, 박테리아 감염 등 혈액의 화학 성분에 영향을 주는 질병과 위속에 이물질이 있을때, 위염전, 위암, 기생충, 두려움과 스트레스, 머리에 외상이 가해졌을 때, 개 파보바이러스나 디스템퍼와 같은 질병 감염, 풀과 같이 구토를 일으키는 물질을 먹었을 때 등 구토를 하게 되는 원인은 여러가지이다.|애견의 위와 소장 속에 들어 있던 것이 입을 통해 밖으로 나온다.|평소와 마찬가지로 가끔씩 구토를 하는 것은 정상적인 행동으로, 특별한 조치를 취할 필요가 없다. 애견이 갑자기 계속해서 구토를 하거나, 토사물의 양이 많거나, 피가 섞여 있다면 병원에 데려가야 한다. 만약 애견이 음식을 너무 많이 먹어서 경련을 하듯이 구토를 하지만 심각하지는 않은 상황이라면 병원에 데려갈 필요는 없으며 24시간 동안 굶기면 도움이 된다. 이 기간 동안에 먹을 것은 주지 않더라도 마실 물을 주어서 탈수되지 않도록 해야 한다. 24시간이 지나면 스크램블드 에그, 삶은 닭고기 등과 같이 가벼운 식사를 늘려 가면 된다. 만약 구토가 멈추지 않거나, 혹은 멈추었다가 음식을 먹은 후에 다시 구토를 하면 가능한 빨리 병원에 데려가야 하고, 애견이 탈수되지 않도록 링거 주사를 맞힌다. 만일 소화기 내에 이물질이 끼어있는 경우라면, 이물질을 제거하기 위한 수술을 해야 할 수도 있다.|
8|급성기관지염|보데텔라 브론키셉티카라고 하는 박테리아가 원인으로, 고양이에게도 영향을 미친다. 개 파라인플루엔자 바이러스와 함께 나타나기도 하고 따로 나타나기도 한다.|기침을 많이 하게 되는데, 특히 힘을 주거나 목에 줄을 매고 있는 상태에서 앞으로 나아가려고 할 때 기침이 심해진다. 기침을 심하게 하여 구역질을 할 수도 있고, 가끔 점액질이 분비되기도 한다. 코에서 분비물이 나오고 고열이 나기도 한다. (사상충이나 만성적인 기관지 질환이 있을 때에도 유사한 증세를 보인다)|일단 애견이 감염되면 다른 동물들과 격리 시켜야 한다. 보통 며칠 이내로 증상이 사라지고 10~14일 이내에 완전히 회복하게 된다. 만약 증상이 지속되면 병원에 데려가야 한다. 증상이 심각한데 치료하지 않고 그냥 두면 폐에 손상이 갈 수도 있다. 병원에 데려가면 항생제를 투여한다.|
9|당뇨|췌장에서 생산되는 인슐린이 부족하거나 혈당 수치가 증가하면 당뇨가 생긴다. 당뇨가 생기는 것은 몸에 이상이 있거나 노화로 인해 췌장에서 인슐린을 생산하지 못한다는 뜻인 경우가 많다. 특히 8세 이상의 애견에게서 많이 나타난다. 상상 임신을 하면 혈액 내에 있는 프로게스테론이라는 호르몬의 수치가 올라가기 때문에, 중성화 수술을 하지 않은 암캐는 당뇨에 걸릴 위험이 세배 이상 높으며, 체중이 많이 나가는 애견은 성별에 관계없이 당뇨에 걸릴 위험이 높아진다.|식욕이 증가하는데, 특히 소변의 양이 많아지거나, 무기력해지고, 체중이 줄어드는 증상이 함께 나타나며 백내장이 생길 수도 있다. 암캐들은 발정기가 시작되면 당뇨와 비슷한 증상이 나타나기도 한다.|당뇨를 치료하려면 애견에게 주기적으로 인슐린을 주사해 주어야 하고 다른 치료도 병행해야 하기 때문에 시간과 비용이 많이 든다. 당뇨가 만성 질환으로 발전하기 전에 진단을 하고 치료를 하면 성공적으로 치료할 수 있는 가능성이 높아진다. 매일 아침 애견의 소변을 모아서 포도당 수치를 재고 필요한 인슐린의 양을 계산하여 정확한 양을 주사해 주어야 한다. 체중 조절, 중성화 수술, 약물 치료, 특수 식단, 운동량 증가 등의 처방을 함께 활용하면 치료에 도움이 된다.|
10|방광염|방광이 박테리아로 감염되어서 방광염이 나타난다. 결석으로 인해 질환이 나타나기도 한다.|적은 양의 소변을 자주 보거나 소변에 혈흔이 비치기도 하며, 소변을 볼 때 힘들어하고 소변이 탁하고 냄새가 난다.|병원에 데려가서 차료를 받아야 하는데 항생제를 투여하게 된다.|7
