id|name|price|content|item_url|image|cover_type
1|브리더 크린 치약 닭고기향 70g|2800|"충치와 구취 및 치와 산화 예방에 도움을 주는 치약/
잇몸에 풍부한 영양공급으로 모세혈관 강화 및 잇몸질환 예방에 도움/
복용해도 무해한 안전 성분"|https://dogpre.com/product/782|https://img.dogpre.com/mobile/dogpre/product/1/782_originalView_01181722.jpg|6
2|브리더 치약&칫솔 세트|4700|"치아와 잇몸구조를 고려한 과학적 디자인/
부드럽고 끝이 둥근 모 사용으로 잇몸자극 최소화/
충치와 구취 제거 및 잇몸 질환 예방/
치약 + 칫솔 + 손가락 칫솔 세트 구성"|https://dogpre.com/product/785|https://img.dogpre.com/mobile/dogpre/product/1/785_originalView_01340364.jpg|6
3|버박 C.E.T. 치약 닭고기맛 70g|11800|"플라그생성균을 억제하는 C.E.T 이중효소의 특허공법 적용/
세균억제 및 세균의 산 생성 억제로 치주질환 예방/
구취 개선 및 이중 효소 시스템으로 플라그 생성 감소"|https://dogpre.com/product/38822|https://img.dogpre.com/mobile/dogpre/product/39/38822_originalView_01500282.jpg|6
4|쏘아베 덴탈클리닉 먹는치약 퍼피 복숭아향 120ml|5450|"헹굼없이 치아와 혓바닥에 바르는 치약/
구취제거, 항균작용, 세포 활성화 등 치아건강 효과/
치아 건강에 유익한 비타민B6, 키토산, 아미노산 함유/
키토산 함유로 구강내 향균작용, 구강점막의 세포 활성화에 효과"|https://dogpre.com/product/13683|https://img.dogpre.com/mobile/dogpre/product/14/13683_originalView_01578700.jpg|6
5|에티펫 치아 깨끗 티슈 30매|1700|"오랄클렌져 성분이 첨가된 간편 칫솔 티슈/
폴리페놀성분으로 입냄새 억제 효과/
형광증백제, 포름알데히드를 무첨가한 안전한 제품/
녹차추출물 함유 및 6단계 정수물 사용"|https://dogpre.com/product/24021|https://img.dogpre.com/mobile/dogpre/product/25/24021_originalView_01696836.jpg|6
6|인 in 피모영양제 680g|43000|"레시틴 및 각종 비타민과 미네랄이 함유된 기능성 영양제/
습진,각질,가려움증 등 각종 피부질환에 도움/
골격형성, 발육, 면역체계 증진에 효과/
열처리를 하지않아 영양소 손실 최소화"|https://dogpre.com/product/883|https://img.dogpre.com/mobile/dogpre/product/1/883_originalView_01206828.jpg|5
7|닥터 스프레이 아토엑스 200ml|10200|"유기게르마늄 성분 함유로 피부면역력 강화에 도움/
콜로이드 실버 함유로 천연살균 및 항균 99.9%/
식약처 FDA 구강, 피부 테스트 안전인증성분 함유/
PH 중성으로 반려동물의 피부에 자극없이 작용/
무형광, 무색소, 무알콜, 무파라벤 등 10가지 유해성분 무첨가"|https://dogpre.com/product/41927|https://img.dogpre.com/mobile/dogpre/product/42/41927_originalView_01060369.jpg|5
8|체리쉬 항문세정제 120ml|3700|"민감한 피부, 피모를 진정/
털에 붙은 이물질 제거에 용이/
항문 주위를 세척하는 전용 세척액"|https://dogpre.com/product/12208|https://img.dogpre.com/mobile/dogpre/product/13/12208_originalView_1751.jpg|5
9|데이비스 테라코트 피모영양제 400g|27900|"인지질 공급으로 세포막 구성, 순환기 건강 강화/
피부 치유, 재생, 건조함 방지 및 피부탄력 증가 효과/
우수한 혼합제조방식으로 알레르기 반응 없이 체내흡수/
세포와 근육조직의 유동성을 증진시켜 활력과 운동성 부여"|https://dogpre.com/product/19772|https://img.dogpre.com/mobile/dogpre/product/20/19772_originalView_01663494.jpg|5
10|디아팜 포우 왁스 50g|22000|"Cera Alba(꿀벌왁스), Caster Oil(캐스터오일)함유로 뛰어난 보습효과/
천연 보호막 형성으로 피부 건조 방지 및 진정효과/
손상되고 갈라진 발바닥 유수분 밸런스 조절/
외부의 각종 자극으로부터 보호 및 자외선 차단 기능"|https://dogpre.com/product/9810|https://img.dogpre.com/mobile/dogpre/product/10/9810_originalView_01232357.jpg|5
