animal_name,species,animal_birth,outpatient,hospitalization,operation,patella,skin_disease,dental,urinary,liability,insurance_choice,breed
±טÅÊÀÚ,2,7,3,3,2,4,1,4,4,2,28,101
±טÅÊÀÚ,2,8,3,4,3,2,1,3,4,2,27,101
±טÅÊÀÚ,2,6,4,4,3,3,1,2,4,1,27,101
±טÅÊÀÚ,2,7,4,5,4,3,2,2,3,1,73,101
±טÅÊÀÚ,2,5,5,4,4,4,2,2,3,1,21,101
±טÅÊÀÚ,2,4,5,3,4,4,2,1,3,1,21,101
±טÅÊÀÚ,2,3,5,4,3,3,3,1,2,2,27,101
±טÅÊÀÚ,2,6,5,5,3,4,3,2,3,2,6,101
±טÅÊÀÚ,2,8,5,4,4,3,3,2,1,2,27,102
±טÅÊÀÚ,2,1,4,3,3,2,3,1,1,1,27,102
±טÅÊÀÚ,2,2,4,2,3,4,4,2,1,1,21,102
±טÅÊÀÚ,2,3,4,2,2,1,3,2,1,2,21,102
±טÅÊÀÚ,2,5,4,3,2,1,4,2,1,1,21,102
±טÅÊÀÚ,2,4,3,4,2,2,4,2,2,2,27,102
±טÅÊÀÚ,2,4,3,5,1,2,4,2,2,1,27,102
±טÅÊÀÚ,2,6,3,4,1,1,5,2,3,2,71,102
±טÅÊÀÚ,2,8,2,3,1,4,5,3,4,1,72,102
±טÅÊÀÚ,2,7,2,3,2,4,4,2,5,2,71,103
±טÅÊÀÚ,2,1,2,3,2,4,4,1,4,1,22,103
±טÅÊÀÚ,2,4,3,2,3,3,3,1,3,2,28,103
±טÅÊÀÚ,2,5,3,3,4,5,3,1,2,1,27,103
±טÅÊÀÚ,2,6,4,3,4,1,3,1,2,2,21,103
±טÅÊÀÚ,2,7,3,4,4,5,3,2,1,1,21,104
±טÅÊÀÚ,2,8,2,4,4,5,2,2,1,1,27,104
±טÅÊÀÚ,2,6,2,5,4,5,2,2,3,1,22,104
±טÅÊÀÚ,2,7,2,2,4,5,2,3,2,1,27,104
±טÅÊÀÚ,2,5,3,2,3,5,2,3,2,1,21,105
±טÅÊÀÚ,2,4,3,3,3,4,1,4,3,1,27,105
±טÅÊÀÚ,2,3,3,3,3,4,1,4,4,1,27,105
±טÅÊÀÚ,2,6,4,2,2,3,2,4,5,1,22,105
±טÅÊÀÚ,2,8,4,1,2,3,4,3,5,1,6,105
±טÅÊÀÚ,2,1,4,2,2,3,4,2,5,1,5,106
±טÅÊÀÚ,2,2,4,4,1,3,3,2,4,1,22,106
±טÅÊÀÚ,2,3,5,4,1,2,3,1,4,1,21,106
±טÅÊÀÚ,2,5,5,5,2,2,1,1,3,1,21,106
±טÅÊÀÚ,2,4,5,5,3,2,1,2,3,2,27,106
±טÅÊÀÚ,2,4,4,4,2,4,2,2,3,2,27,106
±טÅÊÀÚ,2,6,3,4,3,3,1,3,2,1,27,107
±טÅÊÀÚ,2,8,3,3,4,2,1,2,1,1,27,107
±טÅÊÀÚ,2,7,2,3,1,4,2,3,1,1,21,107
±טÅÊÀÚ,2,1,2,1,1,1,2,4,1,1,21,107
±טÅÊÀÚ,2,4,1,2,2,5,3,4,2,1,27,108
±טÅÊÀÚ,2,5,1,3,2,5,2,4,2,1,27,108
±טÅÊÀÚ,2,6,1,4,1,4,3,4,4,1,21,108
±טÅÊÀÚ,2,7,2,5,3,3,4,4,5,1,21,108
±טÅÊÀÚ,2,8,2,5,1,4,4,3,5,1,6,109
±טÅÊÀÚ,2,6,3,5,4,4,3,3,5,1,71,109
±טÅÊÀÚ,2,7,3,5,4,5,3,2,4,1,71,109
±טÅÊÀÚ,2,5,3,5,4,4,2,2,4,1,27,109
±טÅÊÀÚ,2,4,4,4,4,5,2,2,3,2,22,110
±טÅÊÀÚ,2,3,4,3,5,3,3,2,3,2,70,110
±טÅÊÀÚ,2,6,3,3,5,3,3,1,3,2,27,110
±טÅÊÀÚ,2,8,3,4,5,2,4,1,4,1,21,110
±טÅÊÀÚ,2,1,3,3,4,3,4,1,4,1,21,110
±טÅÊÀÚ,2,2,3,2,4,1,4,2,3,1,6,110
±טÅÊÀÚ,2,3,2,1,3,1,3,1,2,1,27,110
±טÅÊÀÚ,2,5,2,2,3,2,3,2,2,1,27,110
±טÅÊÀÚ,2,4,2,3,2,1,2,1,1,1,21,111
±טÅÊÀÚ,2,4,1,1,2,2,2,2,1,2,27,111
±טÅÊÀÚ,2,6,1,4,2,2,2,2,1,1,27,111
±טÅÊÀÚ,2,8,1,5,2,3,2,3,2,1,21,111
±טÅÊÀÚ,2,7,2,4,2,2,1,3,2,1,21,111
±טÅÊÀÚ,2,1,2,1,3,1,1,3,3,1,21,111
±טÅÊÀÚ,2,4,1,1,4,2,2,2,3,1,70,111
±טÅÊÀÚ,2,5,3,2,4,1,2,1,4,1,22,112
±טÅÊÀÚ,2,6,3,3,3,2,3,1,4,1,21,112
±טÅÊÀÚ,2,7,3,3,4,3,3,2,5,2,5,112
±טÅÊÀÚ,2,8,4,4,3,3,4,2,4,2,73,112
±טÅÊÀÚ,2,6,4,5,5,4,4,3,4,2,6,112
±טÅÊÀÚ,2,7,4,4,4,4,4,3,3,2,27,112
±טÅÊÀÚ,2,5,5,4,4,4,5,3,3,2,27,113
±טÅÊÀÚ,2,4,5,4,5,2,5,4,3,2,71,113
±טÅÊÀÚ,2,3,5,4,4,3,4,4,3,2,21,113
±טÅÊÀÚ,2,6,5,3,3,1,3,4,2,2,21,114
±טÅÊÀÚ,2,8,4,5,3,2,2,3,2,1,27,114
±טÅÊÀÚ,2,1,4,1,2,1,2,3,2,2,27,114
±טÅÊÀÚ,2,2,4,1,4,4,2,2,1,1,27,114
±טÅÊÀÚ,2,3,3,1,3,4,2,2,1,2,21,115
±טÅÊÀÚ,2,5,3,2,3,5,1,2,2,1,21,115
±טÅÊÀÚ,2,4,4,3,3,5,1,1,3,2,27,115
±טÅÊÀÚ,2,4,4,3,4,5,2,1,4,2,22,115
±טÅÊÀÚ,2,6,5,4,3,3,3,1,4,3,21,115
±טÅÊÀÚ,2,8,5,4,4,2,3,2,5,4,73,116
±טÅÊÀÚ,2,7,4,4,4,2,3,2,5,4,73,116
±טÅÊÀÚ,2,1,4,3,5,2,3,3,4,4,72,116
±טÅÊÀÚ,2,4,3,2,4,2,4,3,4,4,73,116
±טÅÊÀÚ,2,5,2,4,3,2,4,3,3,5,22,116
±טÅÊÀÚ,2,6,2,5,2,3,4,4,3,5,27,116
±טÅÊÀÚ,2,7,1,5,2,3,2,4,4,4,22,117
±טÅÊÀÚ,2,8,1,4,1,2,2,4,4,2,27,117
±טÅÊÀÚ,2,6,1,3,2,2,2,3,3,2,22,117
±טÅÊÀÚ,2,7,1,2,4,3,2,3,2,1,21,117
±טÅÊÀÚ,2,5,1,1,4,3,5,2,2,1,27,117
±טÅÊÀÚ,2,4,2,2,4,4,5,2,1,1,21,117
±טÅÊÀÚ,2,3,2,3,5,4,5,1,2,1,21,117
±טÅÊÀÚ,2,6,2,1,1,4,4,1,2,2,21,117
±טÅÊÀÚ,2,8,1,2,1,3,3,1,3,2,22,118
±טÅÊÀÚ,2,1,2,2,2,3,3,2,4,2,73,118
±טÅÊÀÚ,2,2,1,1,2,3,3,2,4,2,73,118
±טÅÊÀÚ,2,3,2,2,3,3,3,2,4,1,73,118
±טÅÊÀÚ,2,5,1,1,4,2,3,3,5,1,73,118
±טÅÊÀÚ,2,4,2,2,3,2,2,2,4,2,21,118
±טÅÊÀÚ,2,4,2,1,1,2,2,2,4,2,22,149
±טÅÊÀÚ,2,6,3,2,1,2,2,1,3,3,22,149
±טÅÊÀÚ,2,8,3,3,2,3,2,1,3,3,27,149
±טÅÊÀÚ,2,7,4,3,4,3,2,1,3,3,21,149
±טÅÊÀÚ,2,1,4,1,1,4,2,1,4,2,22,149
±טÅÊÀÚ,2,4,4,1,2,5,3,2,4,2,72,149
±טÅÊÀÚ,2,5,4,2,2,5,2,2,5,2,5,149
±טÅÊÀÚ,2,6,3,5,4,2,2,2,5,3,21,149
±טÅÊÀÚ,2,7,3,5,3,2,2,2,4,3,6,149
±טÅÊÀÚ,2,8,2,5,3,3,2,3,3,2,71,150
±טÅÊÀÚ,2,6,2,4,2,3,2,3,3,2,22,150
±טÅÊÀÚ,2,7,1,1,2,3,2,3,3,2,70,150
±טÅÊÀÚ,2,5,1,2,1,1,3,2,3,1,22,150
±טÅÊÀÚ,2,4,1,3,2,1,3,2,2,1,21,150
±טÅÊÀÚ,2,3,1,1,1,2,4,2,2,1,27,150
±טÅÊÀÚ,2,6,1,4,1,3,4,3,1,2,27,150
±טÅÊÀÚ,2,8,2,1,1,1,4,3,1,2,27,150
±טÅÊÀÚ,2,1,2,5,2,4,5,3,2,3,21,150
±טÅÊÀÚ,2,2,2,3,3,4,5,4,3,3,28,150
±טÅÊÀÚ,2,3,1,3,4,1,3,4,3,3,21,109
±טÅÊÀÚ,2,5,2,4,4,1,3,3,4,3,22,104
±טÅÊÀÚ,2,4,1,4,4,1,3,3,4,3,6,114
±טÅÊÀÚ,2,4,2,5,4,2,2,2,5,3,21,113
±טÅÊÀÚ,2,6,2,5,4,2,2,2,5,2,21,112
±ט±ÖÀÌ,2,0,5,4,3,2,5,1,3,3,22,134
±ט±ÖÀÌ,2,1,3,2,5,3,2,5,5,1,21,134
±ט±ÖÀÌ,2,2,5,3,2,5,3,3,4,2,28,134
±ט±ÖÀÌ,2,3,2,5,4,4,4,4,2,4,27,134
±ט±ÖÀÌ,2,4,4,3,3,2,5,1,3,3,22,134
±ט±ÖÀÌ,2,5,3,5,5,3,4,3,4,4,6,134
±ט±ÖÀÌ,2,6,1,5,2,4,3,4,3,5,73,134
±ט±ÖÀÌ,2,7,3,3,1,1,1,2,4,3,27,134
±ט±ÖÀÌ,2,8,1,4,4,3,2,5,1,1,21,134
±ט±ÖÀÌ,2,0,4,3,2,2,4,3,4,2,27,134
±ט±ÖÀÌ,2,1,2,5,4,4,2,4,2,4,21,134
±ט±ÖÀÌ,2,2,3,4,3,3,3,2,3,3,6,135
±ט±ÖÀÌ,2,3,5,3,5,5,3,3,5,2,72,135
±ט±ÖÀÌ,2,4,4,3,3,3,1,4,2,5,27,135
±ט±ÖÀÌ,2,5,2,3,4,4,3,5,4,3,6,135
±ט±ÖÀÌ,2,6,3,3,3,2,4,4,1,4,21,135
±ט±ÖÀÌ,2,7,4,2,3,3,2,5,2,1,21,135
±ט±ÖÀÌ,2,8,1,4,5,1,3,2,4,2,21,135
±ט±ÖÀÌ,2,0,3,2,4,2,5,5,4,3,27,147
±ט±ÖÀÌ,2,1,2,1,2,4,1,3,5,5,21,147
±ט±ÖÀÌ,2,2,4,3,5,3,5,4,3,1,27,147
±ט±ÖÀÌ,2,3,3,2,1,4,3,5,2,3,28,147
