animal_name,species,animal_birth,outpatient,hospitalization,operation,patella,skin_disease,dental,urinary,liability,insurance_choice,breed
±טÅÊÀÚ,2,7,4,5,4,3,2,2,3,1,73,101
±טÅÊÀÚ,2,6,5,5,3,4,3,2,3,2,6,101
±טÅÊÀÚ,2,6,3,4,1,1,5,2,3,2,71,102
±טÅÊÀÚ,2,8,2,3,1,4,5,3,4,1,72,102
±טÅÊÀÚ,2,7,2,3,2,4,4,2,5,2,71,103
±טÅÊÀÚ,2,8,4,1,2,3,4,3,5,1,6,105
±טÅÊÀÚ,2,1,4,2,2,3,4,2,5,1,5,106
±טÅÊÀÚ,2,8,2,5,1,4,4,3,5,1,6,109
±טÅÊÀÚ,2,6,3,5,4,4,3,3,5,1,71,109
±טÅÊÀÚ,2,7,3,5,4,5,3,2,4,1,71,109
±טÅÊÀÚ,2,3,4,3,5,3,3,2,3,2,70,110
±טÅÊÀÚ,2,2,3,2,4,1,4,2,3,1,6,110
±טÅÊÀÚ,2,4,1,1,4,2,2,2,3,1,70,111
±טÅÊÀÚ,2,7,3,3,4,3,3,2,5,2,5,112
±טÅÊÀÚ,2,8,4,4,3,3,4,2,4,2,73,112
±טÅÊÀÚ,2,6,4,5,5,4,4,3,4,2,6,112
±טÅÊÀÚ,2,4,5,4,5,2,5,4,3,2,71,113
±טÅÊÀÚ,2,8,5,4,4,2,3,2,5,4,73,116
±טÅÊÀÚ,2,7,4,4,4,2,3,2,5,4,73,116
±טÅÊÀÚ,2,1,4,3,5,2,3,3,4,4,72,116
±טÅÊÀÚ,2,4,3,2,4,2,4,3,4,4,73,116
±טÅÊÀÚ,2,1,2,2,2,3,3,2,4,2,73,118
±טÅÊÀÚ,2,2,1,1,2,3,3,2,4,2,73,118
±טÅÊÀÚ,2,3,2,2,3,3,3,2,4,1,73,118
±טÅÊÀÚ,2,5,1,1,4,2,3,3,5,1,73,118
±טÅÊÀÚ,2,4,4,1,2,5,3,2,4,2,72,149
±טÅÊÀÚ,2,5,4,2,2,5,2,2,5,2,5,149
±טÅÊÀÚ,2,7,3,5,3,2,2,2,4,3,6,149
±טÅÊÀÚ,2,8,2,5,3,3,2,3,3,2,71,150
±טÅÊÀÚ,2,7,1,1,2,3,2,3,3,2,70,150
±טÅÊÀÚ,2,4,1,4,4,1,3,3,4,3,6,114
±ט±ÖÀÌ,2,5,3,5,5,3,4,3,4,4,6,134
±ט±ÖÀÌ,2,6,1,5,2,4,3,4,3,5,73,134
±ט±ÖÀÌ,2,2,3,4,3,3,3,2,3,3,6,135
±ט±ÖÀÌ,2,3,5,3,5,5,3,3,5,2,72,135
±ט±ÖÀÌ,2,5,2,3,4,4,3,5,4,3,6,135
±ט±ÖÀÌ,2,6,4,1,4,1,3,5,5,2,6,136
±ט±ÖÀÌ,2,7,2,5,2,2,4,2,3,3,6,136
±ט±ÖÀÌ,2,4,4,3,4,4,3,4,5,5,70,148
±ט±ÖÀÌ,2,5,5,1,1,1,4,5,4,2,70,137
±ט±ÖÀÌ,2,7,1,2,3,3,4,3,5,3,5,137
±ט±ÖÀÌ,2,8,2,3,4,5,5,4,4,5,5,137
±ט±ÖÀÌ,2,3,5,4,3,3,4,3,5,4,73,137
±ט±ÖÀÌ,2,5,4,5,1,1,2,5,4,5,71,146
±ט±ÖÀÌ,2,5,1,3,4,2,4,4,5,4,73,145
±ט±ÖÀÌ,2,2,5,3,1,3,4,2,4,3,73,140
±ט±ÖÀÌ,2,5,3,2,4,4,4,5,5,3,71,140
±ט±ÖÀÌ,2,7,4,1,5,5,5,4,3,4,72,140
±ט±ÖÀÌ,2,8,3,4,3,3,3,3,4,2,6,140
±ט±ÖÀÌ,2,2,4,2,2,5,3,5,3,2,73,140
±ט±ÖÀÌ,2,1,2,1,4,5,4,3,3,2,6,141
±ט±ÖÀÌ,2,0,3,3,1,5,5,3,3,4,5,143
±ט±ÖÀÌ,2,1,4,4,2,1,3,2,4,3,71,143
±ט±ÖÀÌ,2,4,1,2,4,3,5,4,5,3,5,143
±ט±ÖÀÌ,2,6,2,5,3,1,2,3,5,3,71,143
³×³×,2,2,4,4,3,2,2,4,4,4,6,149
³×³×,2,4,2,4,2,3,3,5,5,3,5,149
³×³×,2,8,5,4,5,4,4,5,5,4,6,149
³×³×,2,2,1,4,4,2,4,3,3,3,5,150
³×³×,2,3,3,3,3,3,3,3,3,5,6,150
³×³×,2,4,2,2,2,4,2,4,2,4,6,150
³×³×,2,5,1,2,3,2,2,3,3,3,6,150
³×³×,2,7,1,2,3,3,3,1,1,3,6,150
³×³×,2,8,2,2,2,2,2,5,2,2,6,150
³×³×,2,9,3,4,2,3,2,4,4,2,6,150
³×³×,2,2,4,4,3,2,2,4,4,1,73,119
³×³×,2,8,3,3,5,5,2,3,4,3,71,119
³×³×,2,6,2,4,2,3,3,5,5,3,71,119
³×³×,2,9,1,3,3,1,2,3,4,5,6,120
³×³×,2,2,4,1,4,1,5,4,5,1,73,120
³×³×,2,4,1,4,4,2,4,3,3,3,71,120
³×³×,2,5,3,3,3,3,3,3,3,5,70,120
³×³×,2,6,5,3,1,1,4,3,3,3,72,121
³×³×,2,0,5,5,4,2,4,3,3,2,73,122
³×³×,2,4,4,3,2,2,2,2,4,4,70,122
³×³×,2,1,4,1,1,5,2,2,3,3,6,122
³×³×,2,7,2,3,2,2,3,4,4,2,73,122
³×³×,2,8,4,2,3,5,3,2,3,3,6,123
³×³×,2,9,4,1,4,5,3,2,3,2,71,123
³×³×,2,2,3,1,4,5,2,3,3,1,73,123
³×³×,2,6,4,1,2,3,3,2,5,5,70,124
³×³×,2,6,6,3,3,1,2,3,3,1,5,125
³×³×,2,1,3,3,2,4,2,5,4,3,73,125
³×³×,2,7,1,3,3,1,3,3,3,1,6,126
³×³×,2,8,1,2,3,2,3,4,3,2,71,126
³×³×,2,9,1,2,1,2,2,3,4,2,71,126
³×³×,2,1,4,2,3,2,2,3,3,2,71,126
³×³×,2,8,5,1,2,1,3,5,4,3,70,126
³×³×,2,6,5,1,3,1,3,5,5,4,70,126
³×³×,2,9,3,2,5,3,4,3,3,5,6,127
³×³×,2,9,2,3,2,2,4,5,3,4,70,129
ÀÌ÷À÷À,2,3,2,2,4,3,2,4,5,1,5,149
ÀÌ÷À÷À,2,3,4,5,3,4,2,3,4,2,73,149
ÀÌ÷À÷À,2,4,1,4,2,5,2,5,4,1,71,86
ÀÌ÷À÷À,2,3,3,3,4,3,2,3,5,2,72,89
ÀÌ÷À÷À,2,4,3,5,2,4,2,5,3,2,73,87
ÀÌ÷À÷À,2,2,3,4,5,3,2,5,4,3,71,87
ÀÌ÷À÷À,2,2,5,5,5,3,2,5,4,2,6,90
ÀÌ÷À÷À,2,2,1,2,4,2,3,5,5,4,6,85
ÀÌ÷À÷À,2,3,1,2,3,4,4,5,2,2,5,92
ÀÌ÷À÷À,2,3,4,2,5,3,4,5,2,2,6,92
ÀÌ÷À÷À,2,3,3,5,3,5,4,5,4,3,6,93
ÀÌ÷À÷À,2,3,2,5,4,3,5,3,5,4,5,94
ÀÌ÷À÷À,2,3,4,5,3,4,4,5,2,3,6,94
ÀÌ÷À÷À,2,3,4,4,3,5,4,3,2,5,6,94
ÀÌ÷À÷À,2,3,1,2,3,4,3,5,2,5,5,94
ÀÌ÷À÷À,2,3,1,2,3,4,5,3,2,1,5,95
ÀÌ÷À÷À,2,3,5,4,3,5,4,3,2,3,6,96
ÀÌ÷À÷À,2,3,5,4,3,5,3,5,4,3,6,96
ÀÌ÷À÷À,2,3,1,5,2,3,3,5,5,3,5,96
ÀÌ÷À÷À,2,3,2,5,2,3,5,5,3,5,5,97
ÀÌ÷À÷À,2,3,3,5,3,3,4,3,5,3,6,97
ÀÌ÷À÷À,2,3,3,3,2,4,5,4,3,5,6,97
ÀÌ÷À÷À,2,3,2,1,2,3,4,3,3,2,5,98
ÀÌ÷À÷À,2,3,2,2,5,5,4,5,2,5,5,99
ÀÌ÷À÷À,2,3,3,4,4,4,5,3,4,5,6,99
ÀÌ÷À÷À,2,3,2,5,4,3,5,5,4,2,5,99
ÀÌ÷À÷À,2,3,5,2,3,4,4,3,2,5,6,100
ÀÌ÷À÷À,2,3,3,4,4,4,5,4,2,3,6,100
