id|company_name|insurance_name|species|company_score|company_url|company_logo|renewal|payment_period|content|etc|price_score||||||||||
1|삼성화재|위풍댕댕|1|90.78|https://direct.samsungfire.com/ria/pc/product/petLong/?state=Front#|https://blog.kakaocdn.net/dn/lmjhi/btqB8oDRuQQ/JfqZ41bVWFDcn1a1kDk9m1/img.jpg|1|3|만 20세까지 갱신 가능||||||||||||
2|한화손해보험|LIFEPLUS 댕댕이 안심보험|1|93.37|https://www.lifeplus.co.kr/service/petnowinsurance/|https://www.hwgeneralins.com/images/company/tit_logo2.png|1|1|갱신 가능하며, 계약서 재작성|"장례비/15만원/반려견 사망 시 보험가입금액을 장례비로 지급 (동물병원에서 적법하게 시행된 안락사 포함, 만8세까지만 보장) : 
유실견찾기지원금/15만원/반려견이 유실되어 경찰서나 동물보호센터에 신고한 경우, 전단지 또는 현수막 제작과 게시를 위한 실손비용 보장"|||||||||||
3|메리츠화재|펫퍼민트 Puppy&Home|1|90.32|https://www.ppmint.com/pet/product.do#!/|https://cloudfront-ap-northeast-1.images.arcpublishing.com/chosunbiz/4K3SDZF2B67BK4I5JZBODG77IU.png|1|3|3년 자동갱신||||||||||||
4|메리츠화재|펫퍼민트 Cat&Home|2|90.32|https://www.ppmint.com/pet/product-cat.do#!/|https://cloudfront-ap-northeast-1.images.arcpublishing.com/chosunbiz/4K3SDZF2B67BK4I5JZBODG77IU.png|1|3|3년 자동갱신||||||||||||
5|삼성화재|애니펫 반려묘보험|2|90.78|https://direct.samsungfire.com/ria/pc/product/pet/?state=Front&kind=onlycat#|https://blog.kakaocdn.net/dn/lmjhi/btqB8oDRuQQ/JfqZ41bVWFDcn1a1kDk9m1/img.jpg|1|3|만 20세까지 갱신 가능|반려묘 사망위로금 / 15 / 동일하게 보상하는 다른보험을 가입하고 있더라도 중복으로 지급|||||||||||
6|KB손해보험|KB반려행복펫보험|1|84.78|https://direct.kbinsure.co.kr/home/#/MAIN_0001M/qrCodePop_Pet|https://blog.kakaocdn.net/dn/k49UG/btqyV5GR8vM/1wtUYHMLVTwwkaQoppSYjk/img.jpg|1|1||사망위로금/15:재분양 비용/유실 시 유기견 입양 비용/암 치료비/교통상해치료비/산책상해치료비/단체계약|||||||||||
7|현대해상|하이펫애견보험|1|96.04|http://www.hi-pet.co.kr/main/main.html|http://www.hi-pet.co.kr/images/inc/logo.jpg|1|1|만 12세까지 갱신 가능|장례비/15만원/반려견 사망 시 보험가입금액을 장례비로 지급 (동물병원에서 적법하게 시행된 안락사 포함)|||||||||||
8|롯데손해보험|롯데마이펫보험|3|89.28|http://www.lotteins.co.kr/mobile/new_mobile/product/travel_insurance04.html|http://www.lotteins.co.kr/mobile/new_mobile/images/logo.png|1|1|||||||||||||
9|에이스손해보험|Chubb 펫밀리보험|1|79.3|https://www.acedirect.co.kr/servlets/contract/contractForward.ace?target=pc/contract/step01Pet&cmd=Step01Command&layout=type2|https://m.acedirect.co.kr/jsp/directM/images/common/m_landing_logo.png|0|1||사망위로금/유실 시 광고 비용|||||||||||
10|DB손해보험|아이(I)러브(LOVE)펫보험|3|92.38|https://www.idbins.com/FWMALV0782.do|https://www.directdb.co.kr/veraport/images/logo.png|1|3|3년 자동갱신(보험료 고정), 만 20세까지 갱신 가능|장례비 / 30만원|||||||||||
11|교보라이프플래닛생명|펫사랑M정기보험|3|75.42|https://www.lifeplanet.co.kr/|https://www.lifeplanet.co.kr/resources/images/common/lifeplanet_logo.png|0|1|||||||||||||
12|하나손해보험|하나 펫사랑보험|1|86.03|https://www.educar.co.kr/honeQ/product/petLove/honeQPetLoveIntro|https://www.hanainsure.co.kr/static/resources/mo/img/hana_kakako_img_800x400.png|0|1||사망위로금/위탁비용/유실견 찾기 지원금|||||||||||
13|하나손해보험|하나 맹견배상책임보험|1|86.03|https://www.educar.co.kr/w/product/accidentHealth/fiercedogResponsibility|https://www.hanainsure.co.kr/static/resources/mo/img/hana_kakako_img_800x400.png|1|1|||||||||||||
14|캐롯손해보험|스마트ON펫산책보험|1|76.81|https://www.carrotins.com/desktop/calculation/general/petWalkSwitch/|https://image.dnews.co.kr/photo/photo/2020/01/14/202001141543562310937-2-137029.jpg|1|1||산책 중 사망시 장례비/유실견 찾기 지원금|||||||||||
